id,source_id,title,year,authors,venue,doi,keywords,cited_by_count,references_count,is_seed,openalex_url,scent_score,cluster,decision,note
doi:0c9e737de518bca2,W1522572436,Critical pedagogy in a health service management development programme,2009,Sally Sambrook,,,,,,,https://openalex.org/W1522572436,,,undecided,
doi:3cdb713357d0ac72,W3045243482,Competences for Solving Complex Problems: A Cross-Sectional Survey on Higher Education for Sustainability Learning and Transdisciplinarity,2020,Fedor Daghofer | Filippina Risopoulos-Pichler | Gerald Steiner,,,,,,,https://openalex.org/W3045243482,,,undecided,
doi:bc4ee10eef7fc3ac,W1987039698,La evaluación del aprendizaje como compromiso: una visión desde la pedagogía crítica,2014,Mónica Borjas,,,,,,,https://openalex.org/W1987039698,,,undecided,
doi:57ac47690befabdf,W1972668858,Moving towards transdisciplinarity: an ecological sustainable focus for science and mathematics pre‐service education in the primary/middle years,2008,David Lloyd | Kathryn Paige | Mike Chartres,,,,,,,https://openalex.org/W1972668858,,,undecided,
doi:14ea49ea4e9e026b,W2770376730,On the road to ‘research municipalities’: analysing transdisciplinarity in municipal ecosystem services and adaptation planning,2017,Barry Ness | Christine Wamsler | Ebba Brink | Géraldine Thiere | Helena Björn | Kjell Jonsson | Magnus Sjeldrup | Maria Adolfsson | Monica Axelsson | Nils Ekelund | R. Thomas Palo | Sanna Stålhammar | Therese Jephson | Thomas Beery | Torleif Bramryd | Widar Narvelo,,,,,,,https://openalex.org/W2770376730,,,undecided,
doi:ac711681720608ae,W1526074628,Initiating transdisciplinarity in academic case study teaching,2006,Andreas Muhar | Bernhard Freyer | Michaela Glanzer | Ulli Vilsmaier,,,,,,,https://openalex.org/W1526074628,,,undecided,
doi:db956438cf537b5e,W2000866005,"Lectura transdisciplinar de paisajes cotidianos, hacia una valoración patrimonial. Método de aproximación",2013,Juan Francisco Ojeda Rivera,,,,,,,https://openalex.org/W2000866005,,,undecided,
doi:9dba1d775a3ce423,W2087915545,Integrating Writing and the Teaching Assistant to Enhance Critical Pedagogy,1993,Joan Mullin | Mary Schmidbauer | Michelle L. Young | Randy Stoecker,,,,,,,https://openalex.org/W2087915545,,,undecided,
doi:ddf0a4d475930d87,W2039764947,Learning through public involvement in environmental assessment hearings,2003,A. John Sinclair | Patricia Fitzpatrick,,,,,,,https://openalex.org/W2039764947,,,undecided,
doi:b2dde67ffb29b11f,W2904647184,Assessments of Complex Thinking,2017,Kristen Huff | Paul D. Nichols,,,,,,,https://openalex.org/W2904647184,,,undecided,
doi:7851965cb77f8bf7,W2970342483,Evaluating Communication for Development,2013,Jo Tacchi | June Lennie,,,,,,,https://openalex.org/W2970342483,,,undecided,
src:ed39ea8da3a7ca8b,W1586112241,Rethinking media education : critical pedagogy and identity politics,2007,Anita. Nowak | Karen Ross | Sue Abel,,,,,,,https://openalex.org/W1586112241,,,undecided,
doi:df7571963ade2ce2,W4387461725,Research competencies in university students: Intertwining complex thinking and Education 4.0,2023,Carlos Enrique George-Reyes | Edgar Omar López-Caudana | María Soledad,,,,,,,https://openalex.org/W4387461725,,,undecided,
doi:c71d9d23ac4d751c,W1981121369,Mediated Geographies: Critical Pedagogy and Geographic Education,2007,Ari Palos | Carol Atkinson‐Palombo | Chris Lukinbeal | Christina Kennedy | David Nelson | John C. Finn | John Paul Jones | Keith Woodward | Nicole Antonopolis | Zane Austin Grant,,,,,,,https://openalex.org/W1981121369,,,undecided,
doi:4bd8995e3934ff93,W4205315112,Toward ‘seeing’ critically: a Bayesian analysis of the impacts of a critical pedagogy,2022,Adam Gavarkovs | Emilia Kangasjarvi | Farah Friesen | Jeff Crukley | Kulamakan Kulasegaram | Nicole N. Woods | Ryan Brydges | Sarah Wright | Stella Ng | Victoria Boyd,,,,,,,https://openalex.org/W4205315112,,,undecided,
doi:ff813321f68b9a77,W3119665440,Don’t panic: Bringing complexity thinking to UK Government evaluation guidance,2021,Alexandra S. Penn | Dione Hills | Helen Wilkinson | Martha Bicket,,,,,,,https://openalex.org/W3119665440,,,undecided,
src:278c3818eea787fc,W1765956769,Critical Pedagogy and Praxis with Native American Youth: Cultivating Change through Participatory Action Research.,2013,Paul D. Mencke | Paula Groves Price,,,,,,,https://openalex.org/W1765956769,,,undecided,
doi:3e4299a7ecc7a5e9,W4393006457,Normative future visioning: a critical pedagogy for transformative adaptation,2024,Emin Yahya Menteşe | John McCloskey | Jonathan Ensor | Mark Pelling | María Evangelina Filippi | Max Hope | Thaisa Comelli,,,,,,,https://openalex.org/W4393006457,,,undecided,
doi:7fc02990eebf1760,W2944380431,Aligning sustainability assessment with responsible research and innovation: Towards a framework for Constructive Sustainability Assessment,2019,Laurence Stamford | Nicholas E. Matthews | Philip Shapira,,,,,,,https://openalex.org/W2944380431,,,accepted,
doi:6ee4acf5f9641b21,W4221096415,"Multidisciplinarity, Interdisciplinarity, and Transdisciplinarity: The Tower of Babel in the Age of Two Cultures",2022,Marcin J. Schroeder,,,,,,,https://openalex.org/W4221096415,,,undecided,
doi:826f463e43e3ea34,W2971128513,Formación docente y pensamiento crítico en Paulo Freire,2018,Arnín Cortez Morales | Carolina Pano Fuentes | Daniel Lozano Flórez | Ferley Ortiz Morales | Fernando Vásquez Rodríguez | Gloria Marlén Rondón Herrera | Helka Liliana Rincón | José Humberto Trejo Catalán | Rafael Lucio Gil | Roxana Morales Bonilla | Rusby Yalile Malagón | Ruth Milena Páez Martínez | Ví­ctor del Carmen Avendaño Porras,,,,,,,https://openalex.org/W2971128513,,,undecided,
